ministro,ano,mes,dia,distribuido,redistribuido,total
"MIN. CEZAR PELUSO",2008,5,8,"166","0","166"
"MIN. CARLOS BRITTO",2008,5,8,"39","0","39"
"MIN. JOAQUIM BARBOSA",2008,5,8,"35","0","35"
"MIN. EROS GRAU",2008,5,8,"40","0","40"
"MIN. RICARDO LEWANDOWSKI",2008,5,8,"41","0","41"
"MIN. CÁRMEN LÚCIA",2008,5,8,"33","0","33"
"MIN. MENEZES DIREITO",2008,5,8,"43","0","43"
"TOTAL",2008,5,8,"509","0","509"
"MIN. SEPÚLVEDA PERTENCE",2007,4,23,"0","0","0"
"MIN. CELSO DE MELLO",2007,4,23,"0","0","0"
"MIN. MARCO AURÉLIO",2007,4,23,"0","0","0"
"MIN. GILMAR MENDES",2007,4,23,"0","0","0"
"MIN. CEZAR PELUSO",2007,4,23,"1","0","1"
"MIN. CARLOS BRITTO",2007,4,23,"0","0","0"
"MIN. JOAQUIM BARBOSA",2007,4,23,"0","0","0"
"MIN. EROS GRAU",2007,4,23,"0","0","0"
"MIN. RICARDO LEWANDOWSKI",2007,4,23,"0","0","0"
"MIN. CÁRMEN LÚCIA",2007,4,23,"0","0","0"
"TOTAL",2007,4,23,"1","0","1"
"MIN. SEPÚLVEDA PERTENCE",2007,4,24,"32","0","32"
"MIN. CELSO DE MELLO",2007,4,24,"61","0","61"
"MIN. MARCO AURÉLIO",2007,4,24,"56","1","57"
"MIN. GILMAR MENDES",2007,4,24,"57","0","57"
"MIN. CEZAR PELUSO",2007,4,24,"53","0","53"
"MIN. CARLOS BRITTO",2007,4,24,"40","0","40"
"MIN. JOAQUIM BARBOSA",2007,4,24,"57","0","57"
"MIN. EROS GRAU",2007,4,24,"59","0","59"
"MIN. RICARDO LEWANDOWSKI",2007,4,24,"59","0","59"
"MIN. CÁRMEN LÚCIA",2007,4,24,"56","1","57"
"TOTAL",2007,4,24,"530","2","532"
"MIN. SEPÚLVEDA PERTENCE",2007,7,27,"20","0","20"
"MIN. CELSO DE MELLO",2007,7,27,"23","0","23"
"MIN. MARCO AURÉLIO",2007,7,27,"26","0","26"
"MIN. GILMAR MENDES",2007,7,27,"25","0","25"
"MIN. CEZAR PELUSO",2007,7,27,"35","0","35"
"MIN. CARLOS BRITTO",2007,7,27,"14","0","14"
"MIN. JOAQUIM BARBOSA",2007,7,27,"17","0","17"
"MIN. EROS GRAU",2007,7,27,"25","0","25"
"MIN. RICARDO LEWANDOWSKI",2007,7,27,"16","0","16"
"MIN. CÁRMEN LÚCIA",2007,7,27,"29","0","29"
"TOTAL",2007,7,27,"230","0","230"
"MIN. CELSO DE MELLO",2007,10,31,"12","0","12"
