ministro,ano,mes,dia,distribuido,redistribuido,total
"TOTAL",2008,4,18,"1","0","1"
"MIN. SEPÚLVEDA PERTENCE",2007,4,11,"28","0","28"
"MIN. CELSO DE MELLO",2007,4,11,"41","1","42"
"MIN. MARCO AURÉLIO",2007,4,11,"41","0","41"
"MIN. GILMAR MENDES",2007,4,11,"36","0","36"
"MIN. CEZAR PELUSO",2007,4,11,"62","0","62"
"MIN. CARLOS BRITTO",2007,4,11,"46","0","46"
"MIN. JOAQUIM BARBOSA",2007,4,11,"42","0","42"
"MIN. EROS GRAU",2007,4,11,"46","1","47"
"MIN. RICARDO LEWANDOWSKI",2007,4,11,"46","0","46"
"MIN. CÁRMEN LÚCIA",2007,4,11,"43","0","43"
"TOTAL",2007,4,11,"431","2","433"
"MIN. SEPÚLVEDA PERTENCE",2007,7,13,"37","0","37"
"MIN. CELSO DE MELLO",2007,7,13,"36","0","36"
"MIN. MARCO AURÉLIO",2007,7,13,"40","0","40"
"MIN. GILMAR MENDES",2007,7,13,"52","0","52"
"MIN. CEZAR PELUSO",2007,7,13,"56","0","56"
"MIN. CARLOS BRITTO",2007,7,13,"33","0","33"
"MIN. JOAQUIM BARBOSA",2007,7,13,"24","0","24"
"MIN. EROS GRAU",2007,7,13,"36","0","36"
"MIN. RICARDO LEWANDOWSKI",2007,7,13,"32","0","32"
"MIN. CÁRMEN LÚCIA",2007,7,13,"44","0","44"
"TOTAL",2007,7,13,"390","0","390"
"MIN. CELSO DE MELLO",2007,10,16,"45","0","45"
"MIN. MARCO AURÉLIO",2007,10,16,"19","0","19"
"MIN. GILMAR MENDES",2007,10,16,"37","0","37"
"MIN. CEZAR PELUSO",2007,10,16,"39","0","39"
"MIN. CARLOS BRITTO",2007,10,16,"83","0","83"
"MIN. JOAQUIM BARBOSA",2007,10,16,"40","0","40"
"MIN. EROS GRAU",2007,10,16,"32","0","32"
"MIN. RICARDO LEWANDOWSKI",2007,10,16,"80","0","80"
"MIN. CÁRMEN LÚCIA",2007,10,16,"98","0","98"
"MIN. MENEZES DIREITO",2007,10,16,"35","0","35"
"TOTAL",2007,10,16,"508","0","508"
"MIN. CELSO DE MELLO",2008,1,24,"28","0","28"
"MIN. MARCO AURÉLIO",2008,1,24,"9","0","9"
"MIN. GILMAR MENDES",2008,1,24,"25","0","25"
"MIN. CEZAR PELUSO",2008,1,24,"19","0","19"
"MIN. CARLOS BRITTO",2008,1,24,"11","0","11"
"MIN. JOAQUIM BARBOSA",2008,1,24,"11","0","11"
"MIN. EROS GRAU",2008,1,24,"11","0","11"
"MIN. RICARDO LEWANDOWSKI",2008,1,24,"37","0","37"
"MIN. CÁRMEN LÚCIA",2008,1,24,"38","0","38"
"MIN. MENEZES DIREITO",2008,1,24,"6","0","6"
"TOTAL",2008,1,24,"195","0","195"
"MIN. CELSO DE MELLO",2008,1,25,"20","0","20"
"MIN. MARCO AURÉLIO",2008,1,25,"9","0","9"
"MIN. GILMAR MENDES",2008,1,25,"12","0","12"
"MIN. CEZAR PELUSO",2008,1,25,"10","0","10"
"MIN. CARLOS BRITTO",2008,1,25,"18","0","18"
"MIN. JOAQUIM BARBOSA",2008,1,25,"13","0","13"
"MIN. EROS GRAU",2008,1,25,"15","0","15"
"MIN. RICARDO LEWANDOWSKI",2008,1,25,"26","0","26"
"MIN. CÁRMEN LÚCIA",2008,1,25,"34","0","34"
"MIN. MENEZES DIREITO",2008,1,25,"14","0","14"
"TOTAL",2008,1,25,"171","0","171"
"MIN. CELSO DE MELLO",2008,8,4,"32","0","32"
"MIN. MARCO AURÉLIO",2008,8,4,"36","0","36"
"MIN. ELLEN GRACIE",2008,8,4,"29","0","29"
"MIN. CEZAR PELUSO",2008,8,4,"25","0","25"
"MIN. CARLOS BRITTO",2008,8,4,"19","0","19"
"MIN. JOAQUIM BARBOSA",2008,8,4,"35","0","35"
"MIN. EROS GRAU",2008,8,4,"37","0","37"
"MIN. RICARDO LEWANDOWSKI",2008,8,4,"38","0","38"
"MIN. CÁRMEN LÚCIA",2008,8,4,"32","0","32"
"MIN. MENEZES DIREITO",2008,8,4,"35","1","36"
"TOTAL",2008,8,4,"318","1","319"
"MIN. SEPÚLVEDA PERTENCE",2007,4,12,"36","0","36"
"MIN. CELSO DE MELLO",2007,4,12,"33","1","34"
"MIN. MARCO AURÉLIO",2007,4,12,"34","2","36"
"MIN. GILMAR MENDES",2007,4,12,"30","2","32"
"MIN. CEZAR PELUSO",2007,4,12,"60","0","60"
"MIN. CARLOS BRITTO",2007,4,12,"31","0","31"
"MIN. JOAQUIM BARBOSA",2007,4,12,"31","1","32"
"MIN. EROS GRAU",2007,4,12,"34","0","34"
"MIN. RICARDO LEWANDOWSKI",2007,4,12,"34","0","34"
"MIN. CÁRMEN LÚCIA",2007,4,12,"35","0","35"
"TOTAL",2007,4,12,"358","6","364"
"MIN. CELSO DE MELLO",2007,10,17,"38","0","38"
"MIN. MARCO AURÉLIO",2007,10,17,"18","1","19"
"MIN. GILMAR MENDES",2007,10,17,"31","0","31"
"MIN. CEZAR PELUSO",2007,10,17,"32","0","32"
"MIN. CARLOS BRITTO",2007,10,17,"78","0","78"
"MIN. JOAQUIM BARBOSA",2007,10,17,"28","0","28"
"MIN. EROS GRAU",2007,10,17,"32","0","32"
"MIN. RICARDO LEWANDOWSKI",2007,10,17,"81","0","81"
"MIN. CÁRMEN LÚCIA",2007,10,17,"91","0","91"
"MIN. MENEZES DIREITO",2007,10,17,"29","0","29"
"TOTAL",2007,10,17,"458","1","459"
"MIN. CELSO DE MELLO",2008,8,5,"0","0","0"
"MIN. MARCO AURÉLIO",2008,8,5,"0","0","0"
"MIN. ELLEN GRACIE",2008,8,5,"0","0","0"
"MIN. CEZAR PELUSO",2008,8,5,"0","0","0"
"MIN. CARLOS BRITTO",2008,8,5,"0","0","0"
"MIN. JOAQUIM BARBOSA",2008,8,5,"0","0","0"
"MIN. EROS GRAU",2008,8,5,"0","0","0"
"MIN. RICARDO LEWANDOWSKI",2008,8,5,"0","0","0"
"MIN. CÁRMEN LÚCIA",2008,8,5,"0","0","0"
"MIN. MENEZES DIREITO",2008,8,5,"1","0","1"
"TOTAL",2008,8,5,"1","0","1"
"MIN. SEPÚLVEDA PERTENCE",2007,4,13,"27","0","27"
"MIN. CELSO DE MELLO",2007,4,13,"32","0","32"
"MIN. MARCO AURÉLIO",2007,4,13,"29","0","29"
"MIN. GILMAR MENDES",2007,4,13,"29","0","29"
"MIN. CEZAR PELUSO",2007,4,13,"48","0","48"
"MIN. CARLOS BRITTO",2007,4,13,"27","0","27"
"MIN. JOAQUIM BARBOSA",2007,4,13,"31","0","31"
"MIN. EROS GRAU",2007,4,13,"27","0","27"
"MIN. RICARDO LEWANDOWSKI",2007,4,13,"31","0","31"
"MIN. CÁRMEN LÚCIA",2007,4,13,"33","0","33"
"TOTAL",2007,4,13,"314","0","314"
"MIN. SEPÚLVEDA PERTENCE",2007,7,16,"44","0","44"
"MIN. CELSO DE MELLO",2007,7,16,"27","0","27"
"MIN. MARCO AURÉLIO",2007,7,16,"31","0","31"
"MIN. GILMAR MENDES",2007,7,16,"46","0","46"
"MIN. CEZAR PELUSO",2007,7,16,"68","0","68"
"MIN. CARLOS BRITTO",2007,7,16,"33","0","33"
"MIN. JOAQUIM BARBOSA",2007,7,16,"32","0","32"
"MIN. EROS GRAU",2007,7,16,"31","0","31"
"MIN. RICARDO LEWANDOWSKI",2007,7,16,"26","0","26"
"MIN. CÁRMEN LÚCIA",2007,7,16,"29","0","29"
"TOTAL",2007,7,16,"367","0","367"
"MIN. CELSO DE MELLO",2007,10,18,"32","0","32"
"MIN. MARCO AURÉLIO",2007,10,18,"21","0","21"
"MIN. GILMAR MENDES",2007,10,18,"30","0","30"
"MIN. CEZAR PELUSO",2007,10,18,"44","0","44"
"MIN. CARLOS BRITTO",2007,10,18,"66","0","66"
"MIN. JOAQUIM BARBOSA",2007,10,18,"31","0","31"
"MIN. EROS GRAU",2007,10,18,"24","0","24"
"MIN. RICARDO LEWANDOWSKI",2007,10,18,"69","0","69"
"MIN. CÁRMEN LÚCIA",2007,10,18,"84","0","84"
"MIN. MENEZES DIREITO",2007,10,18,"22","0","22"
"TOTAL",2007,10,18,"423","0","423"
"MIN. CELSO DE MELLO",2007,10,19,"38","0","38"
"MIN. MARCO AURÉLIO",2007,10,19,"8","0","8"
"MIN. GILMAR MENDES",2007,10,19,"36","0","36"
"MIN. CEZAR PELUSO",2007,10,19,"30","0","30"
"MIN. CARLOS BRITTO",2007,10,19,"54","0","54"
"MIN. JOAQUIM BARBOSA",2007,10,19,"24","0","24"
"MIN. EROS GRAU",2007,10,19,"25","0","25"
"MIN. RICARDO LEWANDOWSKI",2007,10,19,"58","0","58"
"MIN. CÁRMEN LÚCIA",2007,10,19,"71","0","71"
"MIN. MENEZES DIREITO",2007,10,19,"24","0","24"
"TOTAL",2007,10,19,"368","0","368"
"MIN. CELSO DE MELLO",2008,1,28,"29","0","29"
"MIN. MARCO AURÉLIO",2008,1,28,"7","0","7"
"MIN. GILMAR MENDES",2008,1,28,"24","0","24"
"MIN. CEZAR PELUSO",2008,1,28,"21","0","21"
"MIN. CARLOS BRITTO",2008,1,28,"44","0","44"
"MIN. JOAQUIM BARBOSA",2008,1,28,"24","0","24"
"MIN. EROS GRAU",2008,1,28,"17","0","17"
"MIN. RICARDO LEWANDOWSKI",2008,1,28,"44","0","44"
"MIN. CÁRMEN LÚCIA",2008,1,28,"53","0","53"
"MIN. MENEZES DIREITO",2008,1,28,"15","0","15"
"TOTAL",2008,1,28,"278","0","278"
"MIN. CELSO DE MELLO",2008,4,22,"33","4","37"
"MIN. MARCO AURÉLIO",2008,4,22,"2","0","2"
"MIN. GILMAR MENDES",2008,4,22,"0","0","0"
"MIN. CEZAR PELUSO",2008,4,22,"23","0","23"
"MIN. CARLOS BRITTO",2008,4,22,"24","1","25"
"MIN. JOAQUIM BARBOSA",2008,4,22,"36","3","39"
"MIN. EROS GRAU",2008,4,22,"25","0","25"
"MIN. RICARDO LEWANDOWSKI",2008,4,22,"30","2","32"
"MIN. CÁRMEN LÚCIA",2008,4,22,"30","3","33"
"MIN. MENEZES DIREITO",2008,4,22,"35","1","36"
"TOTAL",2008,4,22,"238","14","252"
"MIN. CELSO DE MELLO",2008,8,6,"24","0","24"
"MIN. MARCO AURÉLIO",2008,8,6,"16","0","16"
"MIN. ELLEN GRACIE",2008,8,6,"17","0","17"
"MIN. CEZAR PELUSO",2008,8,6,"17","0","17"
"MIN. CARLOS BRITTO",2008,8,6,"12","0","12"
"MIN. JOAQUIM BARBOSA",2008,8,6,"22","1","23"
"MIN. EROS GRAU",2008,8,6,"23","0","23"
"MIN. RICARDO LEWANDOWSKI",2008,8,6,"22","0","22"
"MIN. CÁRMEN LÚCIA",2008,8,6,"20","0","20"
"MIN. MENEZES DIREITO",2008,8,6,"25","0","25"
"TOTAL",2008,8,6,"198","1","199"
"MIN. CELSO DE MELLO",2008,8,7,"15","0","15"
"MIN. MARCO AURÉLIO",2008,8,7,"14","0","14"
"MIN. ELLEN GRACIE",2008,8,7,"18","0","18"
"MIN. CEZAR PELUSO",2008,8,7,"18","0","18"
"MIN. CARLOS BRITTO",2008,8,7,"18","0","18"
"MIN. JOAQUIM BARBOSA",2008,8,7,"18","0","18"
"MIN. EROS GRAU",2008,8,7,"20","0","20"
"MIN. RICARDO LEWANDOWSKI",2008,8,7,"19","0","19"
"MIN. CÁRMEN LÚCIA",2008,8,7,"21","0","21"
"MIN. MENEZES DIREITO",2008,8,7,"20","0","20"
"TOTAL",2008,8,7,"181","0","181"
"MIN. SEPÚLVEDA PERTENCE",2007,7,17,"27","0","27"
"MIN. CELSO DE MELLO",2007,7,17,"18","0","18"
"MIN. MARCO AURÉLIO",2007,7,17,"23","0","23"
"MIN. GILMAR MENDES",2007,7,17,"38","0","38"
"MIN. CEZAR PELUSO",2007,7,17,"39","0","39"
"MIN. CARLOS BRITTO",2007,7,17,"15","0","15"
"MIN. JOAQUIM BARBOSA",2007,7,17,"25","0","25"
"MIN. EROS GRAU",2007,7,17,"25","0","25"
"MIN. RICARDO LEWANDOWSKI",2007,7,17,"18","0","18"
"MIN. CÁRMEN LÚCIA",2007,7,17,"22","0","22"
"TOTAL",2007,7,17,"250","0","250"
"MIN. CELSO DE MELLO",2008,1,29,"30","0","30"
"MIN. MARCO AURÉLIO",2008,1,29,"7","0","7"
"MIN. GILMAR MENDES",2008,1,29,"23","0","23"
"MIN. CEZAR PELUSO",2008,1,29,"20","0","20"
"MIN. CARLOS BRITTO",2008,1,29,"22","0","22"
"MIN. JOAQUIM BARBOSA",2008,1,29,"26","0","26"
"MIN. EROS GRAU",2008,1,29,"29","0","29"
"MIN. RICARDO LEWANDOWSKI",2008,1,29,"42","0","42"
"MIN. CÁRMEN LÚCIA",2008,1,29,"49","0","49"
"MIN. MENEZES DIREITO",2008,1,29,"8","0","8"
"TOTAL",2008,1,29,"256","0","256"
"MIN. CELSO DE MELLO",2008,4,23,"28","0","28"
"MIN. MARCO AURÉLIO",2008,4,23,"13","0","13"
"MIN. ELLEN GRACIE",2008,4,23,"34","0","34"
"MIN. CEZAR PELUSO",2008,4,23,"24","0","24"
"MIN. CARLOS BRITTO",2008,4,23,"35","0","35"
"MIN. JOAQUIM BARBOSA",2008,4,23,"49","0","49"
"MIN. EROS GRAU",2008,4,23,"16","0","16"
"MIN. RICARDO LEWANDOWSKI",2008,4,23,"35","0","35"
"MIN. CÁRMEN LÚCIA",2008,4,23,"46","0","46"
"MIN. MENEZES DIREITO",2008,4,23,"28","0","28"
"TOTAL",2008,4,23,"308","0","308"
"MIN. CELSO DE MELLO",2008,4,24,"17","0","17"
"MIN. MARCO AURÉLIO",2008,4,24,"10","0","10"
"MIN. ELLEN GRACIE",2008,4,24,"104","4","108"
"MIN. CEZAR PELUSO",2008,4,24,"16","0","16"
"MIN. CARLOS BRITTO",2008,4,24,"13","0","13"
"MIN. JOAQUIM BARBOSA",2008,4,24,"27","0","27"
"MIN. EROS GRAU",2008,4,24,"22","1","23"
"MIN. RICARDO LEWANDOWSKI",2008,4,24,"17","0","17"
"MIN. CÁRMEN LÚCIA",2008,4,24,"24","0","24"
"MIN. MENEZES DIREITO",2008,4,24,"27","0","27"
"TOTAL",2008,4,24,"277","5","282"
"MIN. CELSO DE MELLO",2008,8,8,"18","0","18"
"MIN. MARCO AURÉLIO",2008,8,8,"19","0","19"
"MIN. ELLEN GRACIE",2008,8,8,"16","0","16"
"MIN. CEZAR PELUSO",2008,8,8,"20","0","20"
"MIN. CARLOS BRITTO",2008,8,8,"15","0","15"
"MIN. JOAQUIM BARBOSA",2008,8,8,"14","0","14"
"MIN. EROS GRAU",2008,8,8,"17","0","17"
"MIN. RICARDO LEWANDOWSKI",2008,8,8,"17","0","17"
"MIN. CÁRMEN LÚCIA",2008,8,8,"15","0","15"
"MIN. MENEZES DIREITO",2008,8,8,"14","0","14"
"TOTAL",2008,8,8,"165","0","165"
"MIN. CELSO DE MELLO",2008,11,11,"37","0","37"
"MIN. MARCO AURÉLIO",2008,11,11,"36","0","36"
"MIN. ELLEN GRACIE",2008,11,11,"28","0","28"
"MIN. CEZAR PELUSO",2008,11,11,"29","0","29"
"MIN. CARLOS BRITTO",2008,11,11,"27","0","27"
"MIN. JOAQUIM BARBOSA",2008,11,11,"38","0","38"
"MIN. EROS GRAU",2008,11,11,"30","0","30"
"MIN. RICARDO LEWANDOWSKI",2008,11,11,"25","0","25"
"MIN. CÁRMEN LÚCIA",2008,11,11,"35","0","35"
"MIN. MENEZES DIREITO",2008,11,11,"36","0","36"
"TOTAL",2008,11,11,"321","0","321"
"MIN. CELSO DE MELLO",2008,11,12,"22","1","23"
"MIN. MARCO AURÉLIO",2008,11,12,"25","0","25"
"MIN. ELLEN GRACIE",2008,11,12,"23","0","23"
"MIN. CEZAR PELUSO",2008,11,12,"28","0","28"
"MIN. CARLOS BRITTO",2008,11,12,"21","0","21"
"MIN. JOAQUIM BARBOSA",2008,11,12,"28","0","28"
"MIN. EROS GRAU",2008,11,12,"26","0","26"
"MIN. RICARDO LEWANDOWSKI",2008,11,12,"31","1","32"
"MIN. CÁRMEN LÚCIA",2008,11,12,"26","0","26"
"MIN. MENEZES DIREITO",2008,11,12,"25","0","25"
"TOTAL",2008,11,12,"255","2","257"
"MIN. SEPÚLVEDA PERTENCE",2007,7,18,"38","0","38"
"MIN. CELSO DE MELLO",2007,7,18,"34","0","34"
"MIN. MARCO AURÉLIO",2007,7,18,"35","0","35"
"MIN. GILMAR MENDES",2007,7,18,"48","0","48"
"MIN. CEZAR PELUSO",2007,7,18,"60","0","60"
"MIN. CARLOS BRITTO",2007,7,18,"39","0","39"
"MIN. JOAQUIM BARBOSA",2007,7,18,"44","0","44"
"MIN. EROS GRAU",2007,7,18,"43","0","43"
"MIN. RICARDO LEWANDOWSKI",2007,7,18,"35","0","35"
"MIN. CÁRMEN LÚCIA",2007,7,18,"37","0","37"
"TOTAL",2007,7,18,"413","0","413"
"MIN. CELSO DE MELLO",2007,10,22,"38","0","38"
"MIN. MARCO AURÉLIO",2007,10,22,"28","0","28"
"MIN. GILMAR MENDES",2007,10,22,"56","0","56"
"MIN. CEZAR PELUSO",2007,10,22,"44","0","44"
"MIN. CARLOS BRITTO",2007,10,22,"86","0","86"
"MIN. JOAQUIM BARBOSA",2007,10,22,"36","0","36"
"MIN. EROS GRAU",2007,10,22,"24","0","24"
"MIN. RICARDO LEWANDOWSKI",2007,10,22,"77","0","77"
"MIN. CÁRMEN LÚCIA",2007,10,22,"103","0","103"
"MIN. MENEZES DIREITO",2007,10,22,"22","0","22"
"TOTAL",2007,10,22,"514","0","514"
"MIN. CELSO DE MELLO",2008,4,25,"31","0","31"
"MIN. MARCO AURÉLIO",2008,4,25,"7","0","7"
"MIN. ELLEN GRACIE",2008,4,25,"97","0","97"
"MIN. CEZAR PELUSO",2008,4,25,"21","0","21"
"MIN. CARLOS BRITTO",2008,4,25,"44","0","44"
"MIN. JOAQUIM BARBOSA",2008,4,25,"38","0","38"
"MIN. EROS GRAU",2008,4,25,"18","0","18"
"MIN. RICARDO LEWANDOWSKI",2008,4,25,"38","0","38"
"MIN. CÁRMEN LÚCIA",2008,4,25,"37","0","37"
"MIN. MENEZES DIREITO",2008,4,25,"33","0","33"
"TOTAL",2008,4,25,"364","0","364"
"MIN. CELSO DE MELLO",2008,11,13,"23","0","23"
"MIN. MARCO AURÉLIO",2008,11,13,"21","0","21"
"MIN. ELLEN GRACIE",2008,11,13,"15","0","15"
"MIN. CEZAR PELUSO",2008,11,13,"20","0","20"
"MIN. CARLOS BRITTO",2008,11,13,"10","4","14"
"MIN. JOAQUIM BARBOSA",2008,11,13,"26","1","27"
"MIN. EROS GRAU",2008,11,13,"24","0","24"
"MIN. RICARDO LEWANDOWSKI",2008,11,13,"26","0","26"
"MIN. CÁRMEN LÚCIA",2008,11,13,"30","1","31"
"MIN. MENEZES DIREITO",2008,11,13,"19","0","19"
"TOTAL",2008,11,13,"214","6","220"
"MIN. CELSO DE MELLO",2008,11,14,"38","0","38"
"MIN. MARCO AURÉLIO",2008,11,14,"37","0","37"
"MIN. ELLEN GRACIE",2008,11,14,"28","0","28"
"MIN. CEZAR PELUSO",2008,11,14,"1","0","1"
"MIN. CARLOS BRITTO",2008,11,14,"21","0","21"
"MIN. JOAQUIM BARBOSA",2008,11,14,"34","0","34"
"MIN. EROS GRAU",2008,11,14,"40","0","40"
"MIN. RICARDO LEWANDOWSKI",2008,11,14,"36","0","36"
"MIN. CÁRMEN LÚCIA",2008,11,14,"34","0","34"
"MIN. MENEZES DIREITO",2008,11,14,"38","0","38"
"TOTAL",2008,11,14,"307","0","307"
"MIN. CELSO DE MELLO",2009,2,16,"18","0","18"
"MIN. MARCO AURÉLIO",2009,2,16,"13","0","13"
"MIN. ELLEN GRACIE",2009,2,16,"14","0","14"
"MIN. CEZAR PELUSO",2009,2,16,"18","0","18"
"MIN. CARLOS BRITTO",2009,2,16,"25","0","25"
"MIN. JOAQUIM BARBOSA",2009,2,16,"18","0","18"
"MIN. EROS GRAU",2009,2,16,"15","0","15"
"MIN. RICARDO LEWANDOWSKI",2009,2,16,"16","0","16"
"MIN. CÁRMEN LÚCIA",2009,2,16,"14","1","15"
"MIN. MENEZES DIREITO",2009,2,16,"19","0","19"
"TOTAL",2009,2,16,"170","1","171"
"MIN. CELSO DE MELLO",2009,2,17,"22","0","22"
"MIN. MARCO AURÉLIO",2009,2,17,"15","0","15"
"MIN. ELLEN GRACIE",2009,2,17,"26","0","26"
"MIN. CEZAR PELUSO",2009,2,17,"17","0","17"
"MIN. CARLOS BRITTO",2009,2,17,"44","0","44"
"MIN. JOAQUIM BARBOSA",2009,2,17,"20","0","20"
"MIN. EROS GRAU",2009,2,17,"25","0","25"
"MIN. RICARDO LEWANDOWSKI",2009,2,17,"22","0","22"
"MIN. CÁRMEN LÚCIA",2009,2,17,"23","0","23"
"MIN. MENEZES DIREITO",2009,2,17,"27","0","27"
"TOTAL",2009,2,17,"241","0","241"
"MIN. SEPÚLVEDA PERTENCE",2007,7,19,"34","0","34"
"MIN. CELSO DE MELLO",2007,7,19,"43","0","43"
"MIN. MARCO AURÉLIO",2007,7,19,"41","0","41"
"MIN. GILMAR MENDES",2007,7,19,"53","0","53"
"MIN. CEZAR PELUSO",2007,7,19,"78","0","78"
"MIN. CARLOS BRITTO",2007,7,19,"84","0","84"
"MIN. JOAQUIM BARBOSA",2007,7,19,"35","0","35"
"MIN. EROS GRAU",2007,7,19,"46","0","46"
"MIN. RICARDO LEWANDOWSKI",2007,7,19,"27","0","27"
"MIN. CÁRMEN LÚCIA",2007,7,19,"35","0","35"
"TOTAL",2007,7,19,"476","0","476"
"MIN. CELSO DE MELLO",2007,10,23,"35","0","35"
"MIN. MARCO AURÉLIO",2007,10,23,"20","0","20"
"MIN. GILMAR MENDES",2007,10,23,"37","0","37"
"MIN. CEZAR PELUSO",2007,10,23,"48","0","48"
"MIN. CARLOS BRITTO",2007,10,23,"71","0","71"
"MIN. JOAQUIM BARBOSA",2007,10,23,"32","0","32"
"MIN. EROS GRAU",2007,10,23,"34","0","34"
"MIN. RICARDO LEWANDOWSKI",2007,10,23,"86","0","86"
"MIN. CÁRMEN LÚCIA",2007,10,23,"95","0","95"
"MIN. MENEZES DIREITO",2007,10,23,"24","0","24"
"TOTAL",2007,10,23,"482","0","482"
"MIN. CELSO DE MELLO",2009,5,20,"20","0","20"
"MIN. MARCO AURÉLIO",2009,5,20,"24","0","24"
"MIN. ELLEN GRACIE",2009,5,20,"16","0","16"
"MIN. CEZAR PELUSO",2009,5,20,"18","0","18"
"MIN. CARLOS BRITTO",2009,5,20,"22","0","22"
"MIN. JOAQUIM BARBOSA",2009,5,20,"18","1","19"
"MIN. EROS GRAU",2009,5,20,"20","0","20"
"MIN. RICARDO LEWANDOWSKI",2009,5,20,"20","0","20"
"MIN. CÁRMEN LÚCIA",2009,5,20,"21","0","21"
"MIN. MENEZES DIREITO",2009,5,20,"22","0","22"
"TOTAL",2009,5,20,"201","1","202"
"MIN. SEPÚLVEDA PERTENCE",2007,7,20,"28","0","28"
"MIN. CELSO DE MELLO",2007,7,20,"21","0","21"
"MIN. MARCO AURÉLIO",2007,7,20,"27","0","27"
"MIN. GILMAR MENDES",2007,7,20,"29","0","29"
"MIN. CEZAR PELUSO",2007,7,20,"32","0","32"
"MIN. CARLOS BRITTO",2007,7,20,"34","0","34"
"MIN. JOAQUIM BARBOSA",2007,7,20,"31","0","31"
"MIN. EROS GRAU",2007,7,20,"30","0","30"
"MIN. RICARDO LEWANDOWSKI",2007,7,20,"26","0","26"
"MIN. CÁRMEN LÚCIA",2007,7,20,"25","0","25"
"TOTAL",2007,7,20,"283","0","283"
"MIN. CELSO DE MELLO",2007,10,24,"31","0","31"
"MIN. MARCO AURÉLIO",2007,10,24,"15","0","15"
"MIN. GILMAR MENDES",2007,10,24,"40","0","40"
"MIN. CEZAR PELUSO",2007,10,24,"51","0","51"
"MIN. CARLOS BRITTO",2007,10,24,"85","0","85"
"MIN. JOAQUIM BARBOSA",2007,10,24,"21","0","21"
"MIN. EROS GRAU",2007,10,24,"28","0","28"
"MIN. RICARDO LEWANDOWSKI",2007,10,24,"74","0","74"
"MIN. CÁRMEN LÚCIA",2007,10,24,"92","0","92"
"MIN. MENEZES DIREITO",2007,10,24,"25","0","25"
"TOTAL",2007,10,24,"462","0","462"
"MIN. CELSO DE MELLO",2007,10,25,"0","0","0"
"MIN. MARCO AURÉLIO",2007,10,25,"0","0","0"
"MIN. GILMAR MENDES",2007,10,25,"0","0","0"
"MIN. CEZAR PELUSO",2007,10,25,"0","0","0"
"MIN. CARLOS BRITTO",2007,10,25,"0","0","0"
"MIN. JOAQUIM BARBOSA",2007,10,25,"0","0","0"
"MIN. EROS GRAU",2007,10,25,"1","0","1"
"MIN. RICARDO LEWANDOWSKI",2007,10,25,"0","0","0"
"MIN. CÁRMEN LÚCIA",2007,10,25,"0","0","0"
"MIN. MENEZES DIREITO",2007,10,25,"0","0","0"
"TOTAL",2007,10,25,"1","0","1"
"MIN. CELSO DE MELLO",2008,4,28,"35","1","36"
"MIN. MARCO AURÉLIO",2008,4,28,"14","0","14"
"MIN. ELLEN GRACIE",2008,4,28,"95","5","100"
"MIN. CEZAR PELUSO",2008,4,28,"39","0","39"
"MIN. CARLOS BRITTO",2008,4,28,"28","0","28"
"MIN. JOAQUIM BARBOSA",2008,4,28,"35","0","35"
"MIN. EROS GRAU",2008,4,28,"28","2","30"
"MIN. RICARDO LEWANDOWSKI",2008,4,28,"30","0","30"
"MIN. CÁRMEN LÚCIA",2008,4,28,"44","0","44"
"MIN. MENEZES DIREITO",2008,4,28,"29","0","29"
"TOTAL",2008,4,28,"377","8","385"
"MIN. CELSO DE MELLO",2008,8,12,"29","0","29"
"MIN. MARCO AURÉLIO",2008,8,12,"21","0","21"
"MIN. ELLEN GRACIE",2008,8,12,"27","0","27"
"MIN. CEZAR PELUSO",2008,8,12,"36","0","36"
"MIN. CARLOS BRITTO",2008,8,12,"17","0","17"
"MIN. JOAQUIM BARBOSA",2008,8,12,"32","0","32"
"MIN. EROS GRAU",2008,8,12,"28","0","28"
"MIN. RICARDO LEWANDOWSKI",2008,8,12,"28","0","28"
"MIN. CÁRMEN LÚCIA",2008,8,12,"29","0","29"
"MIN. MENEZES DIREITO",2008,8,12,"31","0","31"
"TOTAL",2008,8,12,"278","0","278"
"MIN. CELSO DE MELLO",2008,8,13,"22","0","22"
"MIN. MARCO AURÉLIO",2008,8,13,"18","0","18"
"MIN. ELLEN GRACIE",2008,8,13,"21","0","21"
"MIN. CEZAR PELUSO",2008,8,13,"27","0","27"
"MIN. CARLOS BRITTO",2008,8,13,"18","0","18"
"MIN. JOAQUIM BARBOSA",2008,8,13,"20","0","20"
"MIN. EROS GRAU",2008,8,13,"26","0","26"
"MIN. RICARDO LEWANDOWSKI",2008,8,13,"22","0","22"
"MIN. CÁRMEN LÚCIA",2008,8,13,"22","0","22"
"MIN. MENEZES DIREITO",2008,8,13,"20","0","20"
"TOTAL",2008,8,13,"216","0","216"
"MIN. CELSO DE MELLO",2009,2,18,"20","0","20"
"MIN. MARCO AURÉLIO",2009,2,18,"17","0","17"
"MIN. ELLEN GRACIE",2009,2,18,"18","0","18"
"MIN. CEZAR PELUSO",2009,2,18,"19","0","19"
"MIN. CARLOS BRITTO",2009,2,18,"40","0","40"
"MIN. JOAQUIM BARBOSA",2009,2,18,"23","0","23"
"MIN. EROS GRAU",2009,2,18,"24","0","24"
"MIN. RICARDO LEWANDOWSKI",2009,2,18,"23","0","23"
