"ano","dia","distribuido","total","ministro","mes","redistribuido"
2007,12,"33","33","MIN. SEPÚLVEDA PERTENCE",3,"0"
2007,12,"43","43","MIN. CELSO DE MELLO",3,"0"
2007,12,"39","39","MIN. MARCO AURÉLIO",3,"0"
2007,12,"39","39","MIN. GILMAR MENDES",3,"0"
2007,12,"41","42","MIN. CEZAR PELUSO",3,"1"
2007,12,"38","38","MIN. CARLOS BRITTO",3,"0"
2007,12,"44","44","MIN. JOAQUIM BARBOSA",3,"0"
2007,12,"42","42","MIN. EROS GRAU",3,"0"
2007,12,"24","24","MIN. RICARDO LEWANDOWSKI",3,"0"
2007,12,"42","42","MIN. CÁRMEN LÚCIA",3,"0"
2007,12,"385","386","TOTAL",3,"1"
2007,13,"38","38","MIN. SEPÚLVEDA PERTENCE",3,"0"
2007,13,"37","37","MIN. CELSO DE MELLO",3,"0"
2007,13,"40","41","MIN. MARCO AURÉLIO",3,"1"
2007,13,"41","42","MIN. GILMAR MENDES",3,"1"
2007,13,"39","39","MIN. CEZAR PELUSO",3,"0"
2007,13,"43","43","MIN. CARLOS BRITTO",3,"0"
2007,13,"41","41","MIN. JOAQUIM BARBOSA",3,"0"
2007,13,"38","38","MIN. EROS GRAU",3,"0"
2007,13,"38","38","MIN. RICARDO LEWANDOWSKI",3,"0"
2007,13,"40","41","MIN. CÁRMEN LÚCIA",3,"1"
2007,13,"395","398","TOTAL",3,"3"
2007,14,"40","40","MIN. SEPÚLVEDA PERTENCE",3,"0"
2007,14,"39","39","MIN. CELSO DE MELLO",3,"0"
2007,14,"38","38","MIN. MARCO AURÉLIO",3,"0"
2007,14,"43","43","MIN. GILMAR MENDES",3,"0"
2007,14,"45","45","MIN. CEZAR PELUSO",3,"0"
2007,14,"40","42","MIN. CARLOS BRITTO",3,"2"
2007,14,"41","41","MIN. JOAQUIM BARBOSA",3,"0"
2007,14,"41","42","MIN. EROS GRAU",3,"1"
2007,14,"39","39","MIN. RICARDO LEWANDOWSKI",3,"0"
2007,14,"41","43","MIN. CÁRMEN LÚCIA",3,"2"
2007,14,"407","412","TOTAL",3,"5"
2007,15,"34","34","MIN. SEPÚLVEDA PERTENCE",3,"0"
2007,15,"44","44","MIN. CELSO DE MELLO",3,"0"
2007,15,"46","46","MIN. MARCO AURÉLIO",3,"0"
2007,15,"45","45","MIN. GILMAR MENDES",3,"0"
2007,15,"44","44","MIN. CEZAR PELUSO",3,"0"
2007,15,"51","51","MIN. CARLOS BRITTO",3,"0"
2007,15,"48","48","MIN. JOAQUIM BARBOSA",3,"0"
2007,15,"43","43","MIN. EROS GRAU",3,"0"
2007,15,"46","46","MIN. RICARDO LEWANDOWSKI",3,"0"
2007,15,"45","45","MIN. CÁRMEN LÚCIA",3,"0"
2007,15,"446","446","TOTAL",3,"0"
2007,16,"45","45","MIN. SEPÚLVEDA PERTENCE",3,"0"
2007,16,"43","44","MIN. CELSO DE MELLO",3,"1"
2007,16,"43","43","MIN. MARCO AURÉLIO",3,"0"
2007,16,"43","43","MIN. GILMAR MENDES",3,"0"
2007,16,"49","49","MIN. CEZAR PELUSO",3,"0"
2007,16,"40","40","MIN. CARLOS BRITTO",3,"0"
2007,16,"25","26","MIN. JOAQUIM BARBOSA",3,"1"
2007,16,"43","44","MIN. EROS GRAU",3,"1"
2007,16,"45","45","MIN. RICARDO LEWANDOWSKI",3,"0"
2007,16,"43","43","MIN. CÁRMEN LÚCIA",3,"0"
2007,16,"419","422","TOTAL",3,"3"
2007,19,"45","45","MIN. SEPÚLVEDA PERTENCE",3,"0"
2007,19,"41","42","MIN. CELSO DE MELLO",3,"1"
2007,19,"47","47","MIN. MARCO AURÉLIO",3,"0"
2007,19,"40","40","MIN. GILMAR MENDES",3,"0"
2007,19,"36","36","MIN. CEZAR PELUSO",3,"0"
2007,19,"39","39","MIN. CARLOS BRITTO",3,"0"
2007,19,"42","42","MIN. JOAQUIM BARBOSA",3,"0"
2007,19,"41","41","MIN. EROS GRAU",3,"0"
2007,19,"44","44","MIN. RICARDO LEWANDOWSKI",3,"0"
2007,19,"41","41","MIN. CÁRMEN LÚCIA",3,"0"
2007,19,"416","417","TOTAL",3,"1"
2007,20,"34","34","MIN. SEPÚLVEDA PERTENCE",3,"0"
2007,20,"45","45","MIN. CELSO DE MELLO",3,"0"
2007,20,"41","41","MIN. MARCO AURÉLIO",3,"0"
2007,20,"41","41","MIN. GILMAR MENDES",3,"0"
2007,20,"32","33","MIN. CEZAR PELUSO",3,"1"
2007,20,"42","42","MIN. CARLOS BRITTO",3,"0"
2007,20,"43","43","MIN. JOAQUIM BARBOSA",3,"0"
2007,20,"41","41","MIN. EROS GRAU",3,"0"
2007,20,"43","43","MIN. RICARDO LEWANDOWSKI",3,"0"
2007,20,"43","44","MIN. CÁRMEN LÚCIA",3,"1"
2007,20,"405","407","TOTAL",3,"2"
2007,21,"49","49","MIN. SEPÚLVEDA PERTENCE",3,"0"
2007,21,"52","52","MIN. CELSO DE MELLO",3,"0"
2007,21,"47","47","MIN. MARCO AURÉLIO",3,"0"
2007,21,"42","42","MIN. GILMAR MENDES",3,"0"
2007,21,"50","50","MIN. CEZAR PELUSO",3,"0"
2007,21,"52","52","MIN. CARLOS BRITTO",3,"0"
2007,21,"52","52","MIN. JOAQUIM BARBOSA",3,"0"
2007,21,"57","57","MIN. EROS GRAU",3,"0"
2007,21,"49","49","MIN. RICARDO LEWANDOWSKI",3,"0"
2007,21,"52","52","MIN. CÁRMEN LÚCIA",3,"0"
2007,21,"502","502","TOTAL",3,"0"
2007,22,"28","28","MIN. SEPÚLVEDA PERTENCE",3,"0"
2007,22,"31","31","MIN. CELSO DE MELLO",3,"0"
2007,22,"23","23","MIN. MARCO AURÉLIO",3,"0"
2007,22,"27","27","MIN. GILMAR MENDES",3,"0"
2007,22,"54","54","MIN. CEZAR PELUSO",3,"0"
2007,22,"28","28","MIN. CARLOS BRITTO",3,"0"
2007,22,"32","32","MIN. JOAQUIM BARBOSA",3,"0"
2007,22,"33","33","MIN. EROS GRAU",3,"0"
2007,22,"30","30","MIN. RICARDO LEWANDOWSKI",3,"0"
2007,22,"31","31","MIN. CÁRMEN LÚCIA",3,"0"
2007,22,"317","317","TOTAL",3,"0"
2007,23,"47","47","MIN. SEPÚLVEDA PERTENCE",3,"0"
2007,23,"45","45","MIN. CELSO DE MELLO",3,"0"
2007,23,"41","41","MIN. MARCO AURÉLIO",3,"0"
2007,23,"47","46","MIN. GILMAR MENDES",3,"0"
2007,23,"46","46","MIN. CEZAR PELUSO",3,"0"
2007,23,"43","43","MIN. CARLOS BRITTO",3,"0"
2007,23,"32","32","MIN. JOAQUIM BARBOSA",3,"0"
2007,23,"44","44","MIN. EROS GRAU",3,"0"
2007,23,"42","43","MIN. RICARDO LEWANDOWSKI",3,"1"
2007,23,"46","46","MIN. CÁRMEN LÚCIA",3,"0"
2007,23,"433","434","TOTAL",3,"1"
2007,26,"36","36","MIN. SEPÚLVEDA PERTENCE",3,"0"
2007,26,"37","37","MIN. CELSO DE MELLO",3,"0"
2007,26,"37","37","MIN. MARCO AURÉLIO",3,"0"
2007,26,"37","37","MIN. GILMAR MENDES",3,"0"
2007,26,"34","34","MIN. CEZAR PELUSO",3,"0"
2007,26,"38","38","MIN. CARLOS BRITTO",3,"0"
2007,26,"34","34","MIN. JOAQUIM BARBOSA",3,"0"
2007,26,"36","36","MIN. EROS GRAU",3,"0"
2007,26,"36","36","MIN. RICARDO LEWANDOWSKI",3,"0"
2007,26,"33","33","MIN. CÁRMEN LÚCIA",3,"0"
2007,26,"358","358","TOTAL",3,"0"
2007,27,"33","33","MIN. SEPÚLVEDA PERTENCE",3,"0"
2007,27,"31","31","MIN. CELSO DE MELLO",3,"0"
2007,27,"32","32","MIN. MARCO AURÉLIO",3,"0"
2007,27,"33","33","MIN. GILMAR MENDES",3,"0"
2007,27,"34","34","MIN. CEZAR PELUSO",3,"0"
2007,27,"29","29","MIN. CARLOS BRITTO",3,"0"
2007,27,"35","35","MIN. JOAQUIM BARBOSA",3,"0"
2007,27,"33","34","MIN. EROS GRAU",3,"1"
2007,27,"33","33","MIN. RICARDO LEWANDOWSKI",3,"0"
2007,27,"32","32","MIN. CÁRMEN LÚCIA",3,"0"
2007,27,"325","326","TOTAL",3,"1"
2007,28,"38","38","MIN. SEPÚLVEDA PERTENCE",3,"0"
2007,28,"37","37","MIN. CELSO DE MELLO",3,"0"
2007,28,"35","35","MIN. MARCO AURÉLIO",3,"0"
2007,28,"35","35","MIN. GILMAR MENDES",3,"0"
2007,28,"39","39","MIN. CEZAR PELUSO",3,"0"
2007,28,"40","40","MIN. CARLOS BRITTO",3,"0"
2007,28,"35","35","MIN. JOAQUIM BARBOSA",3,"0"
2007,28,"36","36","MIN. EROS GRAU",3,"0"
2007,28,"36","36","MIN. RICARDO LEWANDOWSKI",3,"0"
2007,28,"37","37","MIN. CÁRMEN LÚCIA",3,"0"
2007,28,"368","368","TOTAL",3,"0"
2007,29,"36","36","MIN. SEPÚLVEDA PERTENCE",3,"0"
2007,29,"39","39","MIN. CELSO DE MELLO",3,"0"
2007,29,"35","35","MIN. MARCO AURÉLIO",3,"0"
2007,29,"34","34","MIN. GILMAR MENDES",3,"0"
2007,29,"62","62","MIN. CEZAR PELUSO",3,"0"
2007,29,"34","34","MIN. CARLOS BRITTO",3,"0"
2007,29,"31","31","MIN. JOAQUIM BARBOSA",3,"0"
2007,29,"37","37","MIN. EROS GRAU",3,"0"
2007,29,"36","36","MIN. RICARDO LEWANDOWSKI",3,"0"
2007,29,"36","36","MIN. CÁRMEN LÚCIA",3,"0"
2007,29,"380","380","TOTAL",3,"0"
2007,30,"38","38","MIN. SEPÚLVEDA PERTENCE",3,"0"
2007,30,"30","30","MIN. CELSO DE MELLO",3,"0"
2007,30,"35","36","MIN. MARCO AURÉLIO",3,"1"
2007,30,"38","38","MIN. GILMAR MENDES",3,"0"
