"site","mesAtual","diaAtual","anoAtual"
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=09/05/2007&numAta=95&sessaoAta=O",5,9,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=10/05/2007&numAta=97&sessaoAta=O",5,10,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=11/05/2007&numAta=98&sessaoAta=O",5,11,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=14/05/2007&numAta=99&sessaoAta=O",5,14,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=15/05/2007&numAta=101&sessaoAta=O",5,15,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=16/05/2007&numAta=102&sessaoAta=O",5,16,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=17/05/2007&numAta=104&sessaoAta=O",5,17,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=18/05/2007&numAta=106&sessaoAta=O",5,18,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=19/05/2007&numAta=107&sessaoAta=O",5,19,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=20/05/2007&numAta=108&sessaoAta=O",5,20,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=21/05/2007&numAta=109&sessaoAta=O",5,21,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=22/05/2007&numAta=110&sessaoAta=O",5,22,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=23/05/2007&numAta=111&sessaoAta=O",5,23,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=24/05/2007&numAta=112&sessaoAta=O",5,24,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=25/05/2007&numAta=115&sessaoAta=O",5,25,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=26/05/2007&numAta=116&sessaoAta=O",5,26,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=27/05/2007&numAta=117&sessaoAta=O",5,27,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=28/05/2007&numAta=118&sessaoAta=O",5,28,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=29/05/2007&numAta=119&sessaoAta=O",5,29,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=30/05/2007&numAta=120&sessaoAta=O",5,30,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=31/05/2007&numAta=121&sessaoAta=O",5,31,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=01/06/2007&numAta=122&sessaoAta=O",6,1,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=04/06/2007&numAta=123&sessaoAta=O",6,4,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=05/06/2007&numAta=124&sessaoAta=O",6,5,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=06/06/2007&numAta=125&sessaoAta=O",6,6,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=08/06/2007&numAta=127&sessaoAta=O",6,8,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=11/06/2007&numAta=128&sessaoAta=O",6,11,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=12/06/2007&numAta=129&sessaoAta=O",6,12,2007
"http://www.stf.jus.br/portal/ataDistribuicao/obterAta.asp?dataAta=13/06/2007&numAta=131&sessaoAta=O",6,13,2007
